rule,category,application,rule_description,llm,question,seniority,participant,file,line,message,effort,severity,type,status,component
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,SENIOR,1,ArrayUtils.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_1/ArrayUtils.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,SENIOR,1,ArrayUtils.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_1/ArrayUtils.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,SENIOR,2,Program.cs,7,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_2/Program.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,SENIOR,2,Program.cs,7,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_2/Program.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,SENIOR,3,ArrayOperations.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_3/ArrayOperations.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,SENIOR,3,ArrayOperations.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_3/ArrayOperations.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GEMINI,ARRAY_DIFFERENCE,SENIOR,4,ArrayOperations.cs,1,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_4/ArrayOperations.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,SENIOR,4,ArrayOperations.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_4/ArrayOperations.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,SENIOR,4,ArrayOperations.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_4/ArrayOperations.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GEMINI,ARRAY_DIFFERENCE,SENIOR,5,ArrayUtils.cs,1,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_5/ArrayUtils.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GEMINI,ARRAY_DIFFERENCE,SENIOR,5,ArrayUtils.cs,3,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_5/ArrayUtils.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,SENIOR,5,ArrayUtils.cs,7,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_5/ArrayUtils.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,SENIOR,5,ArrayUtils.cs,7,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_5/ArrayUtils.cs
S3242,Estrutura,Baixo acoplamento,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,JUNIOR,7,CompareSequence.cs,133,Consider using more general type 'System.Collections.Generic.ICollection<double>' instead of 'System.Collections.Generic.List<double>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/CompareSequence.cs
S3242,Testabilidade,Baixa dependência,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,JUNIOR,7,CompareSequence.cs,133,Consider using more general type 'System.Collections.Generic.ICollection<double>' instead of 'System.Collections.Generic.List<double>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/CompareSequence.cs
S3242,Estrutura,Baixo acoplamento,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,JUNIOR,7,CompareSequence.cs,158,Consider using more general type 'System.Collections.Generic.ICollection<GEMINI.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7.Fraction>' instead of 'System.Collections.Generic.List<GEMINI.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7.Fraction>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/CompareSequence.cs
S3242,Testabilidade,Baixa dependência,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,JUNIOR,7,CompareSequence.cs,158,Consider using more general type 'System.Collections.Generic.ICollection<GEMINI.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7.Fraction>' instead of 'System.Collections.Generic.List<GEMINI.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7.Fraction>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/CompareSequence.cs
S1210,Estrutura,Responsabilidades únicas e claras,"Equals and the comparison operators should be overridden when implementing ""IComparable""",GEMINI,SEQUENCE_COMPARISON,JUNIOR,7,Fraction.cs,11,"When implementing IComparable<T> or IComparable<T>, you should also override Equals, ==, !=, <, <=, >, and >=.",15min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/Fraction.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,SEQUENCE_COMPARISON,JUNIOR,7,Program.cs,5,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/Program.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,SEQUENCE_COMPARISON,JUNIOR,7,Program.cs,5,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/Program.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,SEQUENCE_COMPARISON,PLENO,6,Program.cs,5,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Program.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,SEQUENCE_COMPARISON,PLENO,6,Program.cs,5,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Program.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,SEQUENCE_COMPARISON,SENIOR,1,Program.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_1/Program.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,SEQUENCE_COMPARISON,SENIOR,1,Program.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_1/Program.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,SEQUENCE_COMPARISON,SENIOR,2,Fraction.cs,45,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_2/Fraction.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,SEQUENCE_COMPARISON,SENIOR,2,Fraction.cs,45,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_2/Fraction.cs
S1541,Estrutura,Classes e funções bem definidas,Methods and properties should not be too complex,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,13,The Cyclomatic Complexity of this method is 16 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S1541,Estrutura,Simplicidade arquitetural,Methods and properties should not be too complex,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,13,The Cyclomatic Complexity of this method is 16 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S1541,Testabilidade,Funções puras,Methods and properties should not be too complex,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,13,The Cyclomatic Complexity of this method is 16 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S1541,Manutenabilidade,"Facilidade de modificar, estender ou corrigir",Methods and properties should not be too complex,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,13,The Cyclomatic Complexity of this method is 16 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S3776,Legibilidade,"Funções pequenas, propósito único e poucos parâmetros",Cognitive Complexity of methods should not be too high,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,13,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S3776,Estrutura,Simplicidade arquitetural,Cognitive Complexity of methods should not be too high,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,13,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S3776,Compreensibilidade,"Código óbvio, simples e convincente",Cognitive Complexity of methods should not be too high,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,13,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S3776,Legibilidade,"Funções pequenas, propósito único e poucos parâmetros",Cognitive Complexity of methods should not be too high,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,13,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S3776,Estrutura,Simplicidade arquitetural,Cognitive Complexity of methods should not be too high,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,13,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S3776,Compreensibilidade,"Código óbvio, simples e convincente",Cognitive Complexity of methods should not be too high,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,13,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S3776,Manutenabilidade,"Facilidade de modificar, estender ou corrigir",Cognitive Complexity of methods should not be too high,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,13,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S125,Documentação,Evitar comentários redundantes ou enganosos,Sections of code should not be commented out,GEMINI,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,136,Remove this commented out code.,5min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GEMINI,SEQUENCE_COMPARISON,SENIOR,4,Program.cs,2,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_4/Program.cs
S3242,Estrutura,Baixo acoplamento,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,SENIOR,5,CompareSequence.cs,105,Consider using more general type 'System.Collections.Generic.IEnumerable<GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5.Fraction>' instead of 'System.Collections.Generic.List<GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5.Fraction>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/CompareSequence.cs
S3242,Testabilidade,Baixa dependência,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,SENIOR,5,CompareSequence.cs,105,Consider using more general type 'System.Collections.Generic.IEnumerable<GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5.Fraction>' instead of 'System.Collections.Generic.List<GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5.Fraction>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/CompareSequence.cs
S3242,Estrutura,Baixo acoplamento,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,SENIOR,5,CompareSequence.cs,105,Consider using more general type 'System.Collections.Generic.IEnumerable<double>' instead of 'System.Collections.Generic.List<double>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/CompareSequence.cs
S3242,Testabilidade,Baixa dependência,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,SENIOR,5,CompareSequence.cs,105,Consider using more general type 'System.Collections.Generic.IEnumerable<double>' instead of 'System.Collections.Generic.List<double>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/CompareSequence.cs
S3242,Estrutura,Baixo acoplamento,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,SENIOR,5,CompareSequence.cs,129,Consider using more general type 'System.Collections.Generic.ICollection<double>' instead of 'System.Collections.Generic.List<double>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/CompareSequence.cs
S3242,Testabilidade,Baixa dependência,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,SENIOR,5,CompareSequence.cs,129,Consider using more general type 'System.Collections.Generic.ICollection<double>' instead of 'System.Collections.Generic.List<double>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/CompareSequence.cs
S3242,Estrutura,Baixo acoplamento,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,SENIOR,5,CompareSequence.cs,150,Consider using more general type 'System.Collections.Generic.IEnumerable<GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5.Fraction>' instead of 'System.Collections.Generic.List<GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5.Fraction>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/CompareSequence.cs
S3242,Testabilidade,Baixa dependência,Method parameters should be declared with base types,GEMINI,SEQUENCE_COMPARISON,SENIOR,5,CompareSequence.cs,150,Consider using more general type 'System.Collections.Generic.IEnumerable<GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5.Fraction>' instead of 'System.Collections.Generic.List<GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5.Fraction>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/CompareSequence.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,SEQUENCE_COMPARISON,SENIOR,5,Program.cs,5,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/Program.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,SEQUENCE_COMPARISON,SENIOR,5,Program.cs,5,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/Program.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GEMINI,STRING_ARRAY_ENCODING,JUNIOR,7,MatrixString.cs,3,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.STRING_ARRAY_ENCODING.JUNIOR.PARTICIPANT_7/MatrixString.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GEMINI,STRING_ARRAY_ENCODING,PLENO,6,MatrixString.cs,3,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.STRING_ARRAY_ENCODING.PLENO.PARTICIPANT_6/MatrixString.cs
S125,Documentação,Evitar comentários redundantes ou enganosos,Sections of code should not be commented out,GEMINI,STRING_ARRAY_ENCODING,PLENO,6,MatrixString.cs,88,Remove this commented out code.,5min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.STRING_ARRAY_ENCODING.PLENO.PARTICIPANT_6/MatrixString.cs
S125,Documentação,Evitar comentários redundantes ou enganosos,Sections of code should not be commented out,GEMINI,STRING_ARRAY_ENCODING,SENIOR,1,MatrixException.cs,22,Remove this commented out code.,5min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.STRING_ARRAY_ENCODING.SENIOR.PARTICIPANT_1/MatrixException.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GEMINI,STRING_ARRAY_ENCODING,SENIOR,2,MatrixString.cs,2,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.STRING_ARRAY_ENCODING.SENIOR.PARTICIPANT_2/MatrixString.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GEMINI,STRING_ARRAY_ENCODING,SENIOR,5,MatrixString.cs,3,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.STRING_ARRAY_ENCODING.SENIOR.PARTICIPANT_5/MatrixString.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,JUNIOR,7,ArrayOperations.cs,69,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.JUNIOR.PARTICIPANT_7/ArrayOperations.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,JUNIOR,7,ArrayOperations.cs,69,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.JUNIOR.PARTICIPANT_7/ArrayOperations.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,PLENO,6,Program.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.PLENO.PARTICIPANT_6/Program.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,PLENO,6,Program.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.PLENO.PARTICIPANT_6/Program.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,1,Program.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_1/Program.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,1,Program.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_1/Program.cs
S100,Legibilidade,Nomes significativos e padronizados,"Methods and properties should be named in PascalCase, Track uses of in-source issue suppressions",DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,1,Program.cs,25,"Rename method 'DiferencaEntreArraysSemLINQ' to match pascal case naming rules, consider using 'DiferencaEntreArraysSemLinq'.",5min,MINOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_1/Program.cs
S100,Documentação,Nomes autoexplicativos,"Methods and properties should be named in PascalCase, Track uses of in-source issue suppressions",DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,1,Program.cs,25,"Rename method 'DiferencaEntreArraysSemLINQ' to match pascal case naming rules, consider using 'DiferencaEntreArraysSemLinq'.",5min,MINOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_1/Program.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,2,Program.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_2/Program.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,2,Program.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_2/Program.cs
S1210,Estrutura,Responsabilidades únicas e claras,"Equals and the comparison operators should be overridden when implementing ""IComparable""",DEEPSEEK,SEQUENCE_COMPARISON,JUNIOR,7,Fraction.cs,10,"When implementing IComparable<T>, you should also override ==, !=, <, <=, >, and >=.",15min,MINOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/Fraction.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,DEEPSEEK,SEQUENCE_COMPARISON,JUNIOR,7,Fraction.cs,301,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/Fraction.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,DEEPSEEK,SEQUENCE_COMPARISON,JUNIOR,7,Fraction.cs,301,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/Fraction.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,DEEPSEEK,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,61,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,DEEPSEEK,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,61,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S3776,Legibilidade,"Funções pequenas, propósito único e poucos parâmetros",Cognitive Complexity of methods should not be too high,DEEPSEEK,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,63,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S3776,Estrutura,Simplicidade arquitetural,Cognitive Complexity of methods should not be too high,DEEPSEEK,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,63,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S3776,Compreensibilidade,"Código óbvio, simples e convincente",Cognitive Complexity of methods should not be too high,DEEPSEEK,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,63,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
